"STATION","NAME","DATE","TMAX"
"USC00026471","PHANTOM RANCH, AZ US","2008-01-31","50"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-01","56"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-02","56"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-03","51"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-04","48"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-05","46"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-06","58"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-07","61"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-08","64"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-09","63"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-10","64"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-11","65"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-12","67"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-13","74"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-14","47"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-15","54"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-16","65"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-17","64"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-18","63"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-19","67"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-20","57"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-21","58"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-22","58"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-23","59"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-24","68"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-25","68"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-26","68"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-27","68"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-28","71"
"USC00026471","PHANTOM RANCH, AZ US","2008-02-29","78"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-01","81"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-02","64"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-03","62"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-04","70"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-05","70"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-06","60"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-07","67"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-08","72"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-09","69"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-10","71"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-11","73"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-12","79"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-13","79"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-14","73"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-15","69"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-16","65"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-17","58"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-18","69"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-19","74"
"USC00026471","PHANTOM RANCH, AZ US","2008-03-20","79"
